sepal length,sepal width,petal length,petal width,label
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.225,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
4.675,2.825,1.225,0.475,Generated by VQC
