sepal length,sepal width,petal length,petal width,label
5.425,2.825,1.675,0.225,Setosa (QCBM)
4.675,3.8750000000000004,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.225,Setosa (QCBM)
5.425,2.825,1.225,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.225,Setosa (QCBM)
5.425,3.8750000000000004,1.225,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.225,Setosa (QCBM)
5.425,2.825,1.675,0.225,Setosa (QCBM)
4.675,3.8750000000000004,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.225,Setosa (QCBM)
5.425,2.825,1.225,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.225,Setosa (QCBM)
5.425,3.8750000000000004,1.225,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.225,Setosa (QCBM)
5.425,2.825,1.675,0.225,Setosa (QCBM)
4.675,3.8750000000000004,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.225,Setosa (QCBM)
5.425,2.825,1.225,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.225,Setosa (QCBM)
5.425,3.8750000000000004,1.225,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.225,Setosa (QCBM)
5.425,2.825,1.675,0.225,Setosa (QCBM)
4.675,3.8750000000000004,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.225,Setosa (QCBM)
5.425,2.825,1.225,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.225,Setosa (QCBM)
5.425,3.8750000000000004,1.225,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.225,Setosa (QCBM)
5.425,2.825,1.675,0.225,Setosa (QCBM)
4.675,3.8750000000000004,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.225,Setosa (QCBM)
5.425,2.825,1.225,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.225,Setosa (QCBM)
5.425,3.8750000000000004,1.225,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.225,Setosa (QCBM)
4.675,2.825,1.675,0.225,Setosa (QCBM)
5.425,2.825,1.675,0.225,Setosa (QCBM)
4.675,3.8750000000000004,1.225,0.475,Setosa (QCBM)
5.425,3.8750000000000004,1.675,0.475,Setosa (QCBM)
4.675,2.825,1.225,0.225,Setosa (QCBM)
5.425,2.825,1.225,0.475,Setosa (QCBM)
4.675,3.8750000000000004,1.675,0.225,Setosa (QCBM)
